observation_date,POILBREUSDM,GASREGW
1990-01-01,$20.99 ,
1990-02-01,$19.70 ,
1990-03-01,$18.47 ,
1990-04-01,$16.93 ,
1990-05-01,$16.67 ,
1990-06-01,$15.55 ,
1990-07-01,$17.47 ,
1990-08-01,$26.95 ,#N/A
1990-09-01,$34.66 ,$1.26 
1990-10-01,$36.27 ,$1.34 
1990-11-01,$32.96 ,$1.32 
1990-12-01,$27.87 ,$1.34 
1991-01-01,$23.98 ,$1.18 
1991-02-01,$19.29 ,$1.09 
1991-03-01,$19.56 ,$1.04 
1991-04-01,$19.34 ,$1.08 
1991-05-01,$19.22 ,$1.13 
1991-06-01,$18.17 ,$1.13 
1991-07-01,$19.45 ,$1.10 
1991-08-01,$19.78 ,$1.11 
1991-09-01,$20.54 ,$1.11 
1991-10-01,$22.21 ,$1.09 
1991-11-01,$21.11 ,$1.10 
1991-12-01,$18.25 ,$1.08 
1992-01-01,$18.16 ,$1.02 
1992-02-01,$18.11 ,$1.01 
1992-03-01,$17.66 ,$1.01 
1992-04-01,$19.02 ,$1.05 
1992-05-01,$19.98 ,$1.11 
1992-06-01,$21.19 ,$1.14 
1992-07-01,$20.33 ,$1.14 
1992-08-01,$19.79 ,$1.12 
1992-09-01,$20.29 ,$1.12 
1992-10-01,$20.31 ,$1.11 
1992-11-01,$19.20 ,$1.11 
1992-12-01,$18.27 ,$1.08 
1993-01-01,$17.51 ,$1.06 
1993-02-01,$18.45 ,$1.05 
1993-03-01,$18.84 ,$1.05 
1993-04-01,$18.78 ,$1.08 
1993-05-01,$18.58 ,$1.10 
1993-06-01,$17.63 ,$1.10 
1993-07-01,$16.81 ,$1.08 
1993-08-01,$16.84 ,$1.06 
1993-09-01,$16.14 ,$1.05 
1993-10-01,$16.64 ,$1.09 
1993-11-01,$15.24 ,$1.07 
1993-12-01,$13.56 ,$1.01 
1994-01-01,$14.27 ,$1.00 
1994-02-01,$13.77 ,$1.01 
1994-03-01,$13.77 ,$1.01 
1994-04-01,$15.09 ,$1.03 
1994-05-01,$16.42 ,$1.05 
1994-06-01,$17.11 ,$1.08 
1994-07-01,$18.12 ,$1.11 
1994-08-01,$16.91 ,$1.15 
1994-09-01,$16.04 ,$1.14 
1994-10-01,$16.55 ,$1.11 
1994-11-01,$17.41 ,$1.12 
1994-12-01,$16.04 ,$1.09 
1995-01-01,$16.65 ,$1.08 
1995-02-01,$17.27 ,$1.07 
1995-03-01,$17.24 ,$1.07 
1995-04-01,$18.82 ,$1.11 
1995-05-01,$18.68 ,$1.18 
1995-06-01,$17.35 ,$1.19 
1995-07-01,$16.08 ,$1.15 
1995-08-01,$16.26 ,$1.12 
1995-09-01,$16.69 ,$1.11 
1995-10-01,$16.19 ,$1.09 
1995-11-01,$16.91 ,$1.06 
1995-12-01,$18.24 ,$1.07 
1996-01-01,$18.14 ,$1.09 
1996-02-01,$17.85 ,$1.09 
1996-03-01,$19.81 ,$1.14 
1996-04-01,$21.20 ,$1.23 
1996-05-01,$19.32 ,$1.28 
1996-06-01,$18.58 ,$1.26 
1996-07-01,$19.71 ,$1.23 
1996-08-01,$20.61 ,$1.21 
1996-09-01,$23.08 ,$1.20 
1996-10-01,$24.27 ,$1.20 
1996-11-01,$23.10 ,$1.23 
1996-12-01,$24.04 ,$1.24 
1997-01-01,$23.61 ,$1.24 
1997-02-01,$20.92 ,$1.23 
1997-03-01,$19.56 ,$1.21 
1997-04-01,$17.78 ,$1.20 
1997-05-01,$19.25 ,$1.20 
1997-06-01,$17.80 ,$1.20 
1997-07-01,$18.56 ,$1.17 
1997-08-01,$18.82 ,$1.22 
1997-09-01,$18.58 ,$1.23 
1997-10-01,$20.13 ,$1.20 
1997-11-01,$19.31 ,$1.17 
1997-12-01,$17.42 ,$1.13 
1998-01-01,$15.51 ,$1.09 
1998-02-01,$14.37 ,$1.05 
1998-03-01,$13.46 ,$1.02 
1998-04-01,$13.81 ,$1.03 
1998-05-01,$14.51 ,$1.06 
1998-06-01,$13.06 ,$1.06 
1998-07-01,$12.52 ,$1.06 
1998-08-01,$12.15 ,$1.03 
1998-09-01,$13.63 ,$1.01 
1998-10-01,$12.90 ,$1.02 
1998-11-01,$11.44 ,$1.00 
1998-12-01,$10.16 ,$0.95 
1999-01-01,$11.19 ,$0.94 
1999-02-01,$10.43 ,$0.92 
1999-03-01,$12.89 ,$0.98 
1999-04-01,$15.50 ,$1.13 
1999-05-01,$15.67 ,$1.13 
1999-06-01,$16.13 ,$1.11 
1999-07-01,$19.03 ,$1.16 
1999-08-01,$20.60 ,$1.22 
1999-09-01,$23.15 ,$1.26 
1999-10-01,$22.18 ,$1.24 
1999-11-01,$24.84 ,$1.25 
1999-12-01,$25.70 ,$1.27 
2000-01-01,$25.63 ,$1.29 
2000-02-01,$28.03 ,$1.38 
2000-03-01,$27.49 ,$1.52 
2000-04-01,$23.15 ,$1.46 
2000-05-01,$27.81 ,$1.49 
2000-06-01,$30.48 ,$1.63 
2000-07-01,$28.89 ,$1.55 
2000-08-01,$31.63 ,$1.46 
2000-09-01,$33.36 ,$1.55 
2000-10-01,$31.30 ,$1.53 
2000-11-01,$32.88 ,$1.52 
2000-12-01,$25.48 ,$1.44 
2001-01-01,$25.79 ,$1.45 
2001-02-01,$27.90 ,$1.45 
2001-03-01,$25.03 ,$1.41 
2001-04-01,$26.02 ,$1.55 
2001-05-01,$28.44 ,$1.70 
2001-06-01,$28.00 ,$1.62 
2001-07-01,$24.99 ,$1.42 
2001-08-01,$25.74 ,$1.42 
2001-09-01,$25.84 ,$1.52 
2001-10-01,$21.03 ,$1.32 
2001-11-01,$19.11 ,$1.17 
2001-12-01,$18.68 ,$1.09 
2002-01-01,$20.03 ,$1.11 
2002-02-01,$20.55 ,$1.11 
2002-03-01,$24.00 ,$1.25 
2002-04-01,$25.95 ,$1.40 
2002-05-01,$25.55 ,$1.39 
2002-06-01,$24.37 ,$1.38 
2002-07-01,$25.86 ,$1.40 
2002-08-01,$26.62 ,$1.40 
2002-09-01,$28.37 ,$1.40 
2002-10-01,$27.52 ,$1.45 
2002-11-01,$24.25 ,$1.42 
2002-12-01,$28.32 ,$1.39 
2003-01-01,$30.81 ,$1.46 
2003-02-01,$32.66 ,$1.61 
2003-03-01,$30.17 ,$1.69 
2003-04-01,$25.04 ,$1.59 
2003-05-01,$25.71 ,$1.50 
2003-06-01,$27.57 ,$1.49 
2003-07-01,$28.50 ,$1.51 
2003-08-01,$29.72 ,$1.62 
2003-09-01,$27.04 ,$1.68 
2003-10-01,$29.44 ,$1.56 
2003-11-01,$28.95 ,$1.51 
2003-12-01,$29.74 ,$1.48 
2004-01-01,$30.98 ,$1.57 
2004-02-01,$30.80 ,$1.65 
2004-03-01,$33.42 ,$1.74 
2004-04-01,$33.36 ,$1.80 
2004-05-01,$37.59 ,$1.98 
2004-06-01,$35.44 ,$1.97 
2004-07-01,$38.23 ,$1.91 
2004-08-01,$42.22 ,$1.88 
2004-09-01,$43.32 ,$1.87 
2004-10-01,$49.74 ,$2.00 
2004-11-01,$43.75 ,$1.98 
2004-12-01,$39.97 ,$1.84 
2005-01-01,$44.17 ,$1.83 
2005-02-01,$45.72 ,$1.91 
2005-03-01,$53.23 ,$2.08 
2005-04-01,$52.60 ,$2.24 
2005-05-01,$49.29 ,$2.16 
2005-06-01,$54.84 ,$2.16 
2005-07-01,$57.63 ,$2.29 
2005-08-01,$63.95 ,$2.49 
2005-09-01,$63.26 ,$2.90 
2005-10-01,$58.91 ,$2.72 
2005-11-01,$55.45 ,$2.26 
2005-12-01,$57.16 ,$2.19 
2006-01-01,$63.31 ,$2.32 
2006-02-01,$60.81 ,$2.28 
2006-03-01,$62.75 ,$2.42 
2006-04-01,$70.34 ,$2.74 
2006-05-01,$70.51 ,$2.91 
2006-06-01,$69.23 ,$2.88 
2006-07-01,$74.04 ,$2.98 
2006-08-01,$73.50 ,$2.95 
2006-09-01,$62.53 ,$2.56 
2006-10-01,$58.76 ,$2.24 
2006-11-01,$59.22 ,$2.23 
2006-12-01,$62.26 ,$2.31 
2007-01-01,$54.50 ,$2.24 
2007-02-01,$57.97 ,$2.28 
2007-03-01,$62.36 ,$2.56 
2007-04-01,$67.69 ,$2.85 
2007-05-01,$67.72 ,$3.15 
2007-06-01,$70.62 ,$3.06 
2007-07-01,$76.13 ,$2.96 
2007-08-01,$71.31 ,$2.79 
2007-09-01,$76.77 ,$2.80 
2007-10-01,$82.51 ,$2.80 
2007-11-01,$92.73 ,$3.08 
2007-12-01,$91.52 ,$3.02 
2008-01-01,$92.09 ,$3.04 
2008-02-01,$94.72 ,$3.03 
2008-03-01,$103.16 ,$3.24 
2008-04-01,$110.03 ,$3.46 
2008-05-01,$123.86 ,$3.77 
2008-06-01,$132.76 ,$4.05 
2008-07-01,$133.59 ,$4.06 
2008-08-01,$113.80 ,$3.78 
2008-09-01,$98.76 ,$3.70 
2008-10-01,$71.96 ,$3.05 
2008-11-01,$52.71 ,$2.15 
2008-12-01,$40.51 ,$1.69 
2009-01-01,$43.17 ,$1.79 
2009-02-01,$42.91 ,$1.92 
2009-03-01,$46.58 ,$1.96 
2009-04-01,$50.52 ,$2.05 
2009-05-01,$57.50 ,$2.27 
2009-06-01,$68.58 ,$2.63 
2009-07-01,$64.90 ,$2.53 
2009-08-01,$72.59 ,$2.62 
2009-09-01,$67.51 ,$2.55 
2009-10-01,$72.97 ,$2.55 
2009-11-01,$76.94 ,$2.65 
2009-12-01,$74.79 ,$2.61 
2010-01-01,$76.60 ,$2.72 
2010-02-01,$73.90 ,$2.64 
2010-03-01,$79.52 ,$2.77 
2010-04-01,$85.16 ,$2.85 
2010-05-01,$76.13 ,$2.84 
2010-06-01,$75.25 ,$2.73 
2010-07-01,$75.20 ,$2.73 
2010-08-01,$76.89 ,$2.73 
2010-09-01,$77.94 ,$2.71 
2010-10-01,$83.34 ,$2.80 
2010-11-01,$85.80 ,$2.86 
2010-12-01,$91.96 ,$2.99 
2011-01-01,$96.95 ,$3.09 
2011-02-01,$104.24 ,$3.21 
2011-03-01,$114.92 ,$3.56 
2011-04-01,$123.33 ,$3.80 
2011-05-01,$114.93 ,$3.91 
2011-06-01,$114.37 ,$3.68 
2011-07-01,$117.48 ,$3.65 
2011-08-01,$110.35 ,$3.64 
2011-09-01,$111.96 ,$3.61 
2011-10-01,$110.43 ,$3.45 
2011-11-01,$111.16 ,$3.38 
2011-12-01,$108.35 ,$3.27 
2012-01-01,$111.42 ,$3.38 
2012-02-01,$119.17 ,$3.58 
2012-03-01,$124.70 ,$3.85 
2012-04-01,$120.47 ,$3.90 
2012-05-01,$110.82 ,$3.73 
2012-06-01,$95.89 ,$3.54 
2012-07-01,$102.98 ,$3.44 
2012-08-01,$113.78 ,$3.72 
2012-09-01,$113.64 ,$3.85 
2012-10-01,$111.79 ,$3.75 
2012-11-01,$109.91 ,$3.45 
2012-12-01,$109.57 ,$3.31 
2013-01-01,$112.53 ,$3.32 
2013-02-01,$116.49 ,$3.67 
2013-03-01,$109.59 ,$3.71 
2013-04-01,$102.96 ,$3.57 
2013-05-01,$102.98 ,$3.61 
2013-06-01,$103.36 ,$3.63 
2013-07-01,$107.78 ,$3.59 
2013-08-01,$111.06 ,$3.57 
2013-09-01,$111.96 ,$3.53 
2013-10-01,$109.62 ,$3.34 
2013-11-01,$108.15 ,$3.24 
2013-12-01,$111.07 ,$3.28 
2014-01-01,$107.93 ,$3.31 
2014-02-01,$108.84 ,$3.36 
2014-03-01,$107.87 ,$3.53 
2014-04-01,$108.00 ,$3.66 
2014-05-01,$109.83 ,$3.67 
2014-06-01,$112.24 ,$3.69 
2014-07-01,$107.46 ,$3.61 
2014-08-01,$102.40 ,$3.49 
2014-09-01,$97.85 ,$3.41 
2014-10-01,$87.58 ,$3.17 
2014-11-01,$79.23 ,$2.91 
2014-12-01,$62.90 ,$2.54 
2015-01-01,$48.93 ,$2.12 
2015-02-01,$58.25 ,$2.22 
2015-03-01,$56.52 ,$2.46 
2015-04-01,$59.83 ,$2.47 
2015-05-01,$65.19 ,$2.72 
2015-06-01,$62.62 ,$2.80 
2015-07-01,$56.83 ,$2.79 
2015-08-01,$47.53 ,$2.64 
2015-09-01,$48.03 ,$2.37 
2015-10-01,$48.91 ,$2.29 
2015-11-01,$45.10 ,$2.16 
2015-12-01,$38.53 ,$2.04 
2016-01-01,$32.05 ,$1.95 
2016-02-01,$33.76 ,$1.76 
2016-03-01,$39.79 ,$1.97 
2016-04-01,$43.33 ,$2.11 
2016-05-01,$47.74 ,$2.27 
2016-06-01,$49.88 ,$2.37 
2016-07-01,$46.60 ,$2.24 
2016-08-01,$47.05 ,$2.18 
2016-09-01,$47.38 ,$2.22 
2016-10-01,$51.41 ,$2.25 
2016-11-01,$46.94 ,$2.18 
2016-12-01,$55.02 ,$2.25 
2017-01-01,$55.71 ,$2.35 
2017-02-01,$56.10 ,$2.30 
2017-03-01,$52.66 ,$2.33 
2017-04-01,$53.98 ,$2.42 
2017-05-01,$51.37 ,$2.39 
2017-06-01,$47.65 ,$2.35 
2017-07-01,$49.25 ,$2.30 
2017-08-01,$51.93 ,$2.38 
2017-09-01,$55.56 ,$2.65 
2017-10-01,$57.54 ,$2.51 
2017-11-01,$62.84 ,$2.56 
2017-12-01,$64.06 ,$2.48 
2018-01-01,$68.89 ,$2.55 
2018-02-01,$65.70 ,$2.59 
2018-03-01,$66.89 ,$2.59 
2018-04-01,$71.93 ,$2.76 
2018-05-01,$76.93 ,$2.90 
2018-06-01,$75.80 ,$2.89 
2018-07-01,$75.23 ,$2.85 
2018-08-01,$73.85 ,$2.84 
2018-09-01,$79.16 ,$2.84 
2018-10-01,$80.78 ,$2.86 
2018-11-01,$66.23 ,$2.65 
2018-12-01,$57.95 ,$2.37 
2019-01-01,$59.94 ,$2.25 
2019-02-01,$64.38 ,$2.31 
2019-03-01,$66.94 ,$2.52 
2019-04-01,$71.48 ,$2.80 
2019-05-01,$70.39 ,$2.86 
2019-06-01,$63.21 ,$2.72 
2019-07-01,$64.32 ,$2.74 
2019-08-01,$59.62 ,$2.62 
2019-09-01,$62.43 ,$2.59 
2019-10-01,$59.63 ,$2.63 
2019-11-01,$62.69 ,$2.60 
2019-12-01,$65.35 ,$2.56 
2020-01-01,$63.90 ,$2.55 
2020-02-01,$55.69 ,$2.44 
2020-03-01,$33.95 ,$2.23 
2020-04-01,$26.85 ,$1.84 
2020-05-01,$32.42 ,$1.87 
2020-06-01,$40.86 ,$2.08 
2020-07-01,$43.30 ,$2.18 
2020-08-01,$45.08 ,$2.18 
2020-09-01,$41.93 ,$2.18 
2020-10-01,$41.61 ,$2.16 
2020-11-01,$44.05 ,$2.11 
2020-12-01,$50.38 ,$2.20 
2021-01-01,$55.22 ,$2.33 
2021-02-01,$62.36 ,$2.50 
2021-03-01,$65.80 ,$2.81 
2021-04-01,$65.53 ,$2.86 
2021-05-01,$68.38 ,$2.99 
2021-06-01,$73.51 ,$3.06 
2021-07-01,$74.40 ,$3.14 
2021-08-01,$70.59 ,$3.16 
2021-09-01,$74.75 ,$3.18 
2021-10-01,$83.87 ,$3.29 
2021-11-01,$80.89 ,$3.39 
2021-12-01,$74.68 ,$3.31 
2022-01-01,$85.62 ,$3.31 
2022-02-01,$94.27 ,$3.52 
2022-03-01,$112.44 ,$4.22 
2022-04-01,$106.16 ,$4.11 
2022-05-01,$112.11 ,$4.44 
2022-06-01,$117.69 ,$4.93 
2022-07-01,$105.25 ,$4.56 
2022-08-01,$97.64 ,$3.98 
2022-09-01,$90.61 ,$3.70 
2022-10-01,$93.72 ,$3.82 
2022-11-01,$90.94 ,$3.69 
2022-12-01,$81.50 ,$3.21 
2023-01-01,$84.08 ,$3.34 
2023-02-01,$83.63 ,$3.39 
2023-03-01,$79.26 ,$3.42 
2023-04-01,$83.54 ,$3.60 
2023-05-01,$75.75 ,$3.55 
2023-06-01,$74.98 ,$3.57 
2023-07-01,$80.11 ,$3.60 
2023-08-01,$85.17 ,$3.84 
2023-09-01,$92.67 ,$3.84 
2023-10-01,$88.95 ,$3.61 
2023-11-01,,$3.32 
